,team_name,mu,sigma,rank
0,Astralis,38.04946151935016,0.7982744976189453,35.65463802649332
1,Liquid,37.29004952457799,0.7987097188563419,34.89392036800896
2,NRG,37.19941286202249,0.811391341625986,34.76523883714454
3,FaZe,36.894033711785966,0.8094905461763342,34.46556207325696
4,fnatic,36.780261938263884,0.7842737485216852,34.42744069269883
5,China,40.934164640723274,2.2442283934300016,34.20147946043327
6,G2,36.59334916466563,0.8008140927836879,34.190906886314565
7,Groovy,43.3671919922033,3.0924638371499293,34.08980048075351
8,mousesports,36.356062717887845,0.784263884214354,34.00327106524478
9,SK,36.02052014206038,0.7985947803295266,33.6247358010718
10,NiP,35.85982979750554,0.7930762962352683,33.48060090879974
11,Vitality,35.84570486346351,0.7903347455281821,33.47470062687896
12,VeryGames,35.89078758114335,0.8364041227506069,33.381575212891526
13,Natus Vincere,35.65272860457376,0.7805288980979445,33.31114191027993
14,FURIA,35.55851084845647,0.7900052807650062,33.18849500616145
15,?,36.16109043519382,1.0463214429744103,33.02212610627059
16,Valiance,35.45298671012738,0.8184484064603889,32.99764149074621
17,BIG,35.35055235694976,0.8043775348145367,32.93741975250615
18,Evil Geniuses,35.16150813854706,0.7974917730724851,32.76903281932961
19,Denmark,35.52963455373504,0.9331036742045307,32.73032353112145
20,Complexity,34.961122314308405,0.8025909418908473,32.55334948863586
21,Spirit,34.96678354510176,0.8071643763018609,32.54529041619618
22,MAD Lions,34.88591288207061,0.8154655193786334,32.43951632393471
23,France,35.089878692987924,0.9055122362121182,32.37334198435157
24,Cloud9,34.480172617127444,0.7931414996756909,32.10074811810037
25,ENCE,34.43903585744992,0.7898042302949221,32.06962316656516
26,X,34.645497449480445,0.8596055351225013,32.06668084411294
27,Sweden,34.65071046805146,0.8780783921130907,32.01647529171218
28,MIBR,34.30419553139225,0.7886043355122113,31.93838252485562
29,AIMERZZ,41.32935301677563,3.133481438320538,31.928908701814013
30,NoobTubers,36.732168931393154,1.6614991442023832,31.747671498786005
31,North,34.02051135370194,0.7896411810068477,31.6515878106814
32,100 Thieves,33.991722562738815,0.8316014606024518,31.49691818093146
33,Gen.G,34.0317081613369,0.8467452164739032,31.49147251191519
34,NoChance,33.70442980837778,0.7912889462178311,31.330562969724287
35,devils.one,34.212123488977156,0.9626909165953587,31.32405073919108
36,CR4ZY,33.6996943738054,0.7953143957619432,31.31375118651957
37,Hellslayers,42.15608343853012,3.6361958560347873,31.247495870425755
38,Russian Forces,35.34288078463674,1.3802029737126553,31.202271863498773
39,3DMAX,33.54484059357866,0.7962670864932121,31.156039334099027
40,PENTA,33.4540528066389,0.7918047015984618,31.078638701843513
41,forZe,33.436577489889615,0.7965717766113587,31.04686216005554
42,Space Soldiers,33.41803894334454,0.8041530793590335,31.00557970526744
43,Lazarus,33.511122179943705,0.8529208922346948,30.95235950323962
44,Renegades,33.44044320640941,0.8319598234681171,30.944563736005062
45,OpTic,33.316582531930074,0.7960776608440628,30.928349549397886
46,OG,33.39431701227228,0.8268713444393998,30.91370297895408
47,GODSENT,33.23557632226983,0.7835768793634678,30.884845684179425
48,HAVU,33.24575528266822,0.7953414760163394,30.8597308546192
49,Grayhound,33.47222413965797,0.8724486224833377,30.854878272207955
50,AVANGAR,33.29729281867712,0.8156610639591639,30.85030962679963
51,Sprout,33.20030010826983,0.7960578680648781,30.812126504075195
52,Heretics,33.155271279392196,0.7904012457498418,30.78406754214267
53,Heroic,33.13330156896681,0.7927404726653232,30.755080150970837
54,Ghost,33.09523171876399,0.7935385266350983,30.714616138858695
55,Aristocracy,33.07489708572876,0.7913234140159588,30.700926843680882
56,Rogue,33.02324977360597,0.7924219087634805,30.645984047315526
57,.Russia,34.32928535702702,1.2403823928703002,30.60813817841612
58,ROG IzakOOO,35.34906032448981,1.5822998752499557,30.602160698739944
59,ex-Titan,35.34643680392627,1.6330429272401594,30.44730802220579
60,Windigo,32.70178929813562,0.7904561072682407,30.3304209763309
61,Gambit Youngsters,32.59753961400074,0.789818754371738,30.228083350885523
62,INTZ,32.62738466346209,0.8032174724351819,30.217732246156544
63,Titan,32.707938225703174,0.8442175760995254,30.175285497404598
64,AGAiN,36.2290350309205,2.018031760365401,30.174939749824297
65,g3x,32.747413691933914,0.8675855328098384,30.1446570935044
66,Astana Dragons,32.55327978887989,0.820235869753709,30.092572179618763
67,Mongolia,35.577677613152815,1.8505345680704606,30.026073908941434
68,Quantic,33.40231743338023,1.126972180517504,30.02140089182772
69,Poland,32.838298572703096,0.9501260665907562,29.987920372930827
70,Ancient,32.34300487818387,0.7870184856075736,29.981949421361147
71,Red Reserve,32.301726146366015,0.7924303327592034,29.924435148088406
72,ViCi,32.28693573389646,0.8020205805331957,29.880873992296877
73,Drip or Drown,34.0534214091659,1.394732287914387,29.86922454542274
74,Virtus.pro,32.190448299281464,0.7896682136577624,29.821443658308176
75,Swole Patrol,32.230747444436794,0.8094780052226399,29.802313428768876
76,Copenhagen Flames,32.1658788190936,0.7945187583012011,29.782322544189995
77,Winstrike,32.16226386632891,0.794957012668312,29.777392828323972
78,iBUYPOWER,32.31896515738031,0.847516952215745,29.776414300733077
79,eXtasis,36.267710993810475,2.1696059117585893,29.758893258534705
80,CyberZen,32.03103225276322,0.7989421818186956,29.63420570730713
81,GamerLegion,32.01590480456149,0.7969706439342982,29.624992872758593
82,K23,33.71110631878266,1.3716042684324752,29.596293513485236
83,Epsilon,31.980497530634988,0.7960302908284561,29.59240665814962
84,Envy,31.975574829828524,0.79455122060997,29.591921167998613
85,TYLOO,31.99254492531282,0.8037021556097761,29.581438458483493
86,Party Daddlers,34.47122128380189,1.6403441829331367,29.55018873500248
87,Bad News Bears,31.97478899000808,0.808399835138685,29.549589484592026
88,Kinguin,31.90969943252212,0.7945611151978682,29.526016086928514
89,CLG,31.877606867175817,0.7887208528252561,29.51144430870005
90,Dobry&Gaming,32.03163138109851,0.8478772593907457,29.48799960292627
91,MANS NOT HOT,32.0829302818914,0.8697950833184028,29.47354503193619
92,TCM-Gaming,33.9012870142082,1.4855200738695542,29.44472679259954
93,Bravado,31.878842954399985,0.8147280290375783,29.43465886728725
94,Turkey,32.212766214388274,0.9486994915916206,29.366667739613412
95,Conquest,31.841086288390443,0.8341387574472179,29.338670016048788
96,CSGL,31.686898471068442,0.7914024732413476,29.312691051344398
97,Clan-Mystik,31.720279840316014,0.8176321259516774,29.26738346246098
98,eUnited,31.663488958525733,0.800063783194094,29.26329760894345
99,ex-CPH Wolves,35.952077439387,2.2338446651623465,29.250543443899957
100,ATK,31.641367550953195,0.7995535251858803,29.242706975395553
101,TCC,39.80249762149503,3.5223516123941616,29.235442784312543
102,Waterboys,35.00283927790861,1.92705506126725,29.221674094106863
103,Russia,31.773671594095614,0.8582790539233357,29.198834432325608
104,Orbit,31.575626500970525,0.8002614838303802,29.174842049479384
105,Western Wolves,31.750047003793615,0.8809631946356073,29.107157419886793
106,Aequus,32.14019905786307,1.0167351191658975,29.08999370036538
107,MIXCAT,32.520722833435734,1.146621162524808,29.08085934586131
108,Rise Nation,31.499753136375666,0.8066788310874774,29.079716643113233
109,Dignitas,31.442183793458078,0.7988200383942657,29.04572367827528
110,ownage,31.72924295130562,0.9089099800104977,29.002513011274125
111,Riot Squad,31.455804003496652,0.8245367041635568,28.98219389100598
112,CPH Wolves,31.34440713726328,0.7927368653177355,28.966196541310072
113,AGO,31.28628883598327,0.782935632254671,28.937481939219257
114,Misfits,31.3298257284173,0.8007966270047431,28.92743584740307
115,exDT,33.22567800569902,1.4457136780005015,28.888536971697512
116,ex-3DMAX,31.838220555538282,0.9893839170579819,28.870068804364337
117,SMASH,31.18741083899814,0.7850351077624014,28.832305515710935
118,ex-Epsilon,31.481988684510807,0.8854193665072773,28.825730584988975
119,GPlay,31.182608946271653,0.8093150280585092,28.754663862096127
120,E-frag.net,31.19257090376585,0.8155753024192176,28.745844996508197
121,Orgless,31.128370276786946,0.7952595488050132,28.742591630371905
122,x6tence Galaxy,31.068236917392,0.793760839292656,28.686954399514033
123,o9,36.7918393043697,2.705795121916798,28.67445393861931
124,NOBO,31.48996901007636,0.9456729051549657,28.652950294611465
125,LLG,33.40426846270202,1.5925960429185737,28.6264803339463
126,Syman,31.007411228637288,0.7943797325026574,28.624272031129316
127,Movistar Riders,30.981657953865305,0.7878992899765448,28.61796008393567
128,Fragsters,30.991556419915394,0.7923903043007007,28.614385507013292
129,USA,35.81441543416177,2.402039496570255,28.60829694445101
130,Gambit,30.973122738520264,0.7896872525344312,28.60406098091697
131,MVP PK,31.071922620679864,0.8245482478014862,28.598277877275404
132,J Money Crew,32.202866755222466,1.2055965309621797,28.586077162335926
133,Luminosity,30.933898360205415,0.7903105982129958,28.562966565566427
134,Lucid Dream,30.9987674393767,0.8158935067471752,28.551086919135173
135,Team1,33.105098248360434,1.5199138779665384,28.545356614460818
136,Nemiga,30.89317816862662,0.7890465922497018,28.526038391877513
